n,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,learner,seed,stop_quantile,round
7,0.0,1.0,0.0,1.0,0.6931743934020324,0.6931743934020324,0.0,0.0,0.060125712811629865,0.10747261768333691,0.42857142857142866,completed_only,3,0.3,5
7,0.14285714285714285,1.0,0.0,0.8571428571428571,0.6931743934020324,0.6951728406855594,0.0019984472835270495,0.0,0.07396639668058302,0.10339459374293004,0.5714285714285715,static_initial,3,0.3,5
8,0.375,0.6666666666666667,0.3333333333333333,0.625,0.7393931611497171,0.7711964477047235,0.031803286555006416,0.0,0.07461699581942137,0.10254291809154989,0.28571428571428575,oracle_all_endpoints,3,0.4,1
8,0.25,0.6666666666666667,0.3333333333333333,0.75,0.7393931611497171,0.7561314879989546,0.016738326849237484,0.0,0.0652158085187393,0.10031548862647484,0.4047619047619048,completed_only,3,0.4,1
8,0.25,0.6666666666666667,0.3333333333333333,0.75,0.7393931611497171,0.7561314879989546,0.016738326849237484,0.0,0.07538813091120299,0.10356969364768101,0.261904761904762,static_initial,3,0.4,1
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.04062756898550084,0.07845002911475718,0.39860139860139865,oracle_all_endpoints,3,0.4,2
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.042655622066399335,0.07833788984903892,0.35664335664335667,completed_only,3,0.4,2
12,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6569558781171102,0.6496767954585496,-0.007279082658560587,0.059287895245059286,0.041867117187719426,0.08030056151199785,0.3846153846153847,static_initial,3,0.4,2
8,0.5,,,0.5,0.651404878848853,0.6765270451796136,0.025122166330760587,0.0,0.04803931893112949,0.07407308165232343,-0.14285714285714288,oracle_all_endpoints,3,0.4,3
8,0.625,,,0.375,0.651404878848853,0.6759512086255378,0.024546329776684805,0.0,0.05327574642084136,0.07615554826473525,-0.261904761904762,completed_only,3,0.4,3
8,0.125,,,0.875,0.651404878848853,0.6473396317876151,-0.004065247061237898,0.0,0.038744206003685486,0.06438028644679698,-0.28571428571428575,static_initial,3,0.4,3
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6589820490105328,0.6997284148462126,0.04074636583567981,0.0,0.05374338480082716,0.0777776287101155,0.7999999999999999,oracle_all_endpoints,3,0.4,4
9,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6589820490105328,0.7065479944665838,0.04756594545605097,0.0,0.049687404239549315,0.07025672165183673,0.7666666666666667,completed_only,3,0.4,4
9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6589820490105328,0.6942314192167318,0.035249370206199004,0.0,0.03351859805186581,0.06012908979591559,0.8333333333333333,static_initial,3,0.4,4
7,0.0,1.0,0.0,1.0,0.6931743934020324,0.6931743934020324,0.0,0.0,0.05639631726664666,0.10452400566140628,0.42857142857142866,oracle_all_endpoints,3,0.4,5
