n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.3,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.3,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.35,completed_only
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.35,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.35,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.4,completed_only
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.4,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.4,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.45,completed_only
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.45,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.45,static_initial
32,5,0,0.5,1.0,0.0,0.5,0.6662605741832348,0.6736564528865362,0.007395878703301384,0.0,0.06655492578533379,0.09616976955487372,0.23093841642228732,0,0.5,completed_only
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6711969915292859,0.004936417346051103,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.5,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.5,static_initial
32,5,0,0.5,1.0,0.0,0.5,0.6662605741832348,0.6736564528865362,0.007395878703301384,0.0,0.06655492578533379,0.09616976955487372,0.23093841642228732,0,0.55,completed_only
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6711969915292859,0.004936417346051103,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.55,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.55,static_initial
32,5,0,0.5,1.0,0.0,0.5,0.6662605741832348,0.6736564528865362,0.007395878703301384,0.0,0.06655492578533379,0.09616976955487372,0.23093841642228732,0,0.6,completed_only
32,5,0,0.375,1.0,0.0,0.625,0.6662605741832348,0.6705186932180658,0.004258119034830976,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.6,oracle_all_endpoints
