seed,stop_quantile,oracle_valuable_run_recall,completed_only_valuable_run_recall,delta_valuable_run_recall,oracle_valuable_false_stop_rate,completed_only_valuable_false_stop_rate,delta_valuable_false_stop_rate,oracle_stop_rate,completed_only_stop_rate,delta_stop_rate,oracle_endpoint_observation_rate,completed_only_endpoint_observation_rate,delta_endpoint_observation_rate,oracle_endpoint_selection_bias,completed_only_endpoint_selection_bias,delta_endpoint_selection_bias,oracle_simple_regret_batch,completed_only_simple_regret_batch,delta_simple_regret_batch,oracle_mae,completed_only_mae,delta_mae,oracle_rmse,completed_only_rmse,delta_rmse,oracle_spearman,completed_only_spearman,delta_spearman
3,0.55,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.29545454545454547,0.09090909090909091,0.7954545454545454,0.7045454545454546,-0.09090909090909083,0.007496482145577521,0.010196508799262927,0.0027000266536854056,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
3,0.6,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.29545454545454547,0.09090909090909091,0.7954545454545454,0.7045454545454546,-0.09090909090909083,0.007496482145577521,0.010196508799262927,0.0027000266536854056,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
4,0.1,0.9090909090909091,0.9090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.9090909090909091,0.0,-0.006425737561826961,-0.006425737561826961,0.0,0.10329990251354415,0.10329990251354415,0.0,0.053056232797539744,0.05305148750140375,-4.745296135991173e-06,0.09155591619344093,0.0916350446850737,7.912849163277391e-05,0.26306765609860105,0.2390749772639202,-0.02399267883468084
4,0.15,0.9090909090909091,0.9545454545454546,0.045454545454545525,0.09090909090909091,0.045454545454545456,-0.045454545454545456,0.11363636363636363,0.1590909090909091,0.045454545454545456,0.8863636363636364,0.8409090909090909,-0.045454545454545414,-0.0018492180142191117,0.00881759079634703,0.010666808810566142,0.10329990251354415,0.0,-0.10329990251354415,0.053056232797539744,0.05305517384205454,-1.0589554852030725e-06,0.09155591619344093,0.08702709876839605,-0.004528817425044879,0.26306765609860105,0.29784994198319753,0.034782285884596476
4,0.2,0.8636363636363636,0.9090909090909091,0.045454545454545414,0.13636363636363635,0.09090909090909091,-0.04545454545454544,0.25,0.20454545454545456,-0.04545454545454544,0.75,0.7954545454545454,0.045454545454545414,-0.00045855909807623885,0.0007808162205358293,0.0012393753186120682,0.10329990251354415,0.10329990251354415,0.0,0.053056232797539744,0.05068210506002679,-0.002374127737512957,0.09155591619344093,0.08487688628275213,-0.006679029910688805,0.26306765609860105,0.31091104525414803,0.04784338915554698
4,0.25,0.8636363636363636,0.9545454545454546,0.09090909090909094,0.13636363636363635,0.045454545454545456,-0.0909090909090909,0.2727272727272727,0.22727272727272727,-0.04545454545454544,0.7272727272727273,0.7727272727272727,0.045454545454545414,-0.0003827462423016126,0.010100266941387326,0.010483013183688938,0.10329990251354415,0.0,-0.10329990251354415,0.053056232797539744,0.04972182547941328,-0.003334407318126467,0.09155591619344093,0.08355680894741778,-0.007999107246023152,0.26306765609860105,0.32638561325994814,0.06331795716134708
4,0.3,0.8636363636363636,0.9545454545454546,0.09090909090909094,0.13636363636363635,0.045454545454545456,-0.0909090909090909,0.2727272727272727,0.22727272727272727,-0.04545454545454544,0.7272727272727273,0.7727272727272727,0.045454545454545414,-0.0003827462423016126,0.010100266941387326,0.010483013183688938,0.10329990251354415,0.0,-0.10329990251354415,0.053056232797539744,0.04972182547941328,-0.003334407318126467,0.09155591619344093,0.08355680894741778,-0.007999107246023152,0.26306765609860105,0.32638561325994814,0.06331795716134708
4,0.35,0.8181818181818181,0.8636363636363636,0.045454545454545525,0.18181818181818182,0.13636363636363635,-0.04545454545454547,0.29545454545454547,0.29545454545454547,0.0,0.7045454545454546,0.7045454545454546,0.0,-0.002509025356573824,0.006827467105187113,0.009336492461760937,0.10329990251354415,0.0,-0.10329990251354415,0.053056232797539744,0.050749785988754126,-0.0023064468087856185,0.09155591619344093,0.08375250303179377,-0.007803413161647163,0.26306765609860105,0.336181440713161,0.07311378461455992
4,0.4,0.8181818181818181,0.8636363636363636,0.045454545454545525,0.18181818181818182,0.13636363636363635,-0.04545454545454547,0.29545454545454547,0.29545454545454547,0.0,0.7045454545454546,0.7045454545454546,0.0,-0.002509025356573824,0.006827467105187113,0.009336492461760937,0.10329990251354415,0.0,-0.10329990251354415,0.053056232797539744,0.050749785988754126,-0.0023064468087856185,0.09155591619344093,0.08375250303179377,-0.007803413161647163,0.26306765609860105,0.336181440713161,0.07311378461455992
4,0.45,0.8181818181818181,0.8636363636363636,0.045454545454545525,0.18181818181818182,0.13636363636363635,-0.04545454545454547,0.29545454545454547,0.29545454545454547,0.0,0.7045454545454546,0.7045454545454546,0.0,-0.002509025356573824,0.006827467105187113,0.009336492461760937,0.10329990251354415,0.0,-0.10329990251354415,0.053056232797539744,0.050749785988754126,-0.0023064468087856185,0.09155591619344093,0.08375250303179377,-0.007803413161647163,0.26306765609860105,0.336181440713161,0.07311378461455992
